name, full_name, valid, irrelevant, missing, invalid, cpp, cs, objc, go, java, coffee, js, ts, ruby, php, python, perl, clojure, erlang, haskell, scala 
"goldendict","Abs62/goldendict",334,195,1112,0,1088,0,11,0,0,0,0,22,0,0,0,0,0,0,0,0
"netty","AchinthaReemal/netty",4811,584,6,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
"spark","Aegeaner/spark",2684,511,910,1,3,2,0,0,35,0,3,0,9,0,39,0,0,0,0,860
"webmachine","Ahmah2009/webmachine",251,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"codecombat","AkaKaras/codecombat",206,119,563,0,1,0,0,0,0,531,54,0,0,0,20,0,0,0,0,0
"tagainijisho","Akeru/tagainijisho",119,396,955,0,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"riemann","AkihiroSuda/riemann",564,70,29,0,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0
"pace","asonni/pace",91,158,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"appjs","Alafazam/appjs",322,170,25,0,9,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0
"spire","AlecZorab/spire",713,71,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"mezzanine","AlexHill/mezzanine",1828,1290,90,0,0,0,0,0,0,0,19,0,0,0,74,0,0,0,0,0
"less.js","AlexMeliq/less.js",1163,387,502,0,0,0,0,0,0,0,502,0,0,0,0,0,0,0,0,0
"hubot","AlexandrPuryshev/hubot",530,385,26,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
"dropwizard","Alexey1Gavrilov/dropwizard",1015,805,181,0,0,0,0,0,164,0,2,0,0,0,15,0,0,0,0,0
"node-serialport","AlexeyPopov/node-serialport",162,149,77,0,42,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
"disruptor","AllenRay/disruptor",543,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"quartznet","AlonAm/quartznet",603,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kafka","Altiscale/kafka",621,75,17,0,2,4,0,3,0,0,0,0,3,4,0,0,5,0,0,2
"metrics","AltitudeDigital/metrics",946,480,108,0,0,0,0,0,87,0,3,0,0,0,18,0,0,0,0,0
"gor","Amirus/gor",134,65,60,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
"PaperFold-for-iOS","AmitaiB/PaperFold-for-iOS",91,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ViewDeck","Amnysia/ViewDeck",382,55,15,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"erlcloud","Amplify-Social/erlcloud",216,21,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0
"vex","AndBicScadMedia/vex",30,126,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
"android","tadakatsu/android",1603,783,55,0,0,0,0,0,50,0,6,0,0,0,0,0,0,0,0,0
"PHP-CS-Fixer","AplayER/PHP-CS-Fixer",181,44,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
"mosh","AppleLife/mosh",282,23,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sqlite-net","Applied-Duality/sqlite-net",173,20,34,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the_silver_searcher","Arkanosis/the_silver_searcher",686,232,100,0,81,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0
"vagrant","ArloL/vagrant",3643,790,203,0,0,0,0,0,0,0,2,0,187,0,15,0,0,0,0,0
"blackfriday","ateleshev/blackfriday",125,17,42,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
"presto","ArturGajowy/presto",2017,284,9,0,0,0,0,0,1,0,1,0,0,0,7,0,0,0,0,0
"boto","Asana/boto",3890,583,401,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0
"azure-sdk-for-net","AsrOneSdk/azure-sdk-for-net",311,274,87,0,0,85,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"App-perlbrew","Asuza/App-perlbrew",86,336,694,0,0,0,0,0,0,0,0,0,0,0,0,694,0,0,0,0
"slick","AtkinsChang/slick",826,65,55,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,45
"atmosphere","Atmosphere/atmosphere",3573,666,8,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,5
"shapeless","Atry/shapeless",500,107,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"shellcheck","AubreyEAnderson/shellcheck",294,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AutoMapper","AutoMapper/AutoMapper",403,150,549,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CocoaLumberjack","AutoScout24/CocoaLumberjack",165,71,28,0,25,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0
"scribe","Ayear0608/scribe",74,21,12,0,7,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0
"bower","Backbase/bower",886,395,21,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
"cakephp","Balachan27/cakephp",13753,1129,7509,0,0,0,0,0,0,0,11,0,0,7506,0,0,0,0,0,0
"Faker","Balamir/Faker",368,78,95,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0
"httpie","Batterfii/httpie",296,99,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"jquery.payment","Bhavinshah5111/jquery.payment",28,27,9,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0
"qBittorrent","BizzyBane/qBittorrent",3574,891,558,0,513,0,0,0,0,0,47,3,0,0,4,0,0,0,0,0
"chosen","BlaZeX/chosen",442,304,45,0,0,0,0,0,0,45,3,0,0,0,0,0,0,0,0,0
"GMGridView","BlessNeo/GMGridView",86,20,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"paperclip","BlinkerGit/paperclip",1031,255,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
"helios","Bogon/helios",30,39,9,0,0,0,0,0,0,5,1,0,3,0,0,0,0,0,0,0
"PredictionIO","YummyKaya/PredictionIO",430,351,578,0,0,0,0,0,84,0,5,0,0,0,25,0,0,0,0,513
"kaminari","Boomkat/kaminari",353,233,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
"OwlCarousel","BrandyMint/OwlCarousel",45,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"finagle","BuoyantIO/finagle",1792,722,496,0,2,0,0,0,25,0,2,0,14,0,6,0,0,0,0,467
"docopt","BurntSushi/docopt",305,75,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"folly","Spring-Xu/folly",361,38,169,0,167,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"rebar","CMoH/rebar",876,368,113,0,1,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0
"capistrano","CanalTP/capistrano",137,162,31,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
"mojo","CandyAngel/mojo",153,271,6994,0,0,0,0,0,0,0,22,0,0,3,0,6987,0,0,0,0
"oriDomi","CarMoreno/oriDomi",441,154,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"sshuttle","CasparLi/sshuttle",158,31,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zipkin","ChartBoost/zipkin",298,54,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"XVim","KyneChen/XVim",650,158,39,0,22,0,31,0,0,0,0,0,1,0,0,0,0,0,0,0
"sortable","ChrisGhenea/sortable",63,65,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"compojure","Christopher-Bui/compojure",639,107,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
"offline","Climax777/offline",61,92,5,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0
"eredis","Cloven/eredis",51,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Cockatrice","Cockatrice/Cockatrice",948,196,86,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hallo","CodericSandbox/hallo",416,60,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"bourbon","Comi9/bourbon",81,454,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"compass","Compass/compass",1071,1696,168,1,0,0,0,0,0,0,17,0,152,0,0,0,0,0,0,0
"beanstalkd","CompendiumSoftware/beanstalkd",489,166,18,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"breeze","ContentSquare/breeze",1450,151,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24
"etcd","CrazyJvm/etcd",704,263,518,0,0,0,0,501,0,0,17,0,0,0,1,0,0,0,0,0
"rendr","CristinaFoltea/rendr",560,148,21,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
"node.bcrypt.js","DJMcK/node.bcrypt.js",42,127,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MahApps.Metro","Danghor/MahApps.Metro",611,632,53,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"algebird","DanielleSucher/algebird",347,49,109,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,106
"gitlist","DannyvdSluijs/gitlist",222,114,17,0,0,0,0,0,0,0,4,0,0,14,0,0,0,0,0,0
"daux.io","DarthVanger/daux.io",41,50,6,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0
"whenever","Dearest/whenever",185,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DefinitelyTyped","DefinitelyTyped/DefinitelyTyped",924,404,9541,8,0,0,0,0,0,0,63,9529,0,0,0,0,0,0,0,0
"powerline","jurf/powerline",584,306,115,0,2,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0
"docco","DoomHammer/docco",173,139,23,0,0,0,0,0,1,18,3,0,2,0,0,0,0,0,0,1
"turbolinks","DrewMartin/turbolinks",167,86,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
"zombie","DrorT/zombie",738,397,128,0,3,0,0,0,0,109,63,0,0,0,0,0,0,0,0,0
"grape","Ebooom/grape",467,260,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"tiled","EdenIndustries/tiled",1120,349,687,0,601,0,2,0,3,0,0,75,12,0,6,0,0,0,0,0
"instaparse","Engelberg/instaparse",322,90,76,0,0,0,0,0,0,0,2,0,0,0,0,0,76,0,0,0
"Akavache","ErikEJ/Akavache",345,170,83,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"showdown","ErisDS/showdown",57,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hubot-scripts","Ev1l/hubot-scripts",1630,104,225,0,0,0,0,0,0,219,6,0,0,0,0,0,0,0,0,0
"fsnotify","FactomProject/fsnotify",133,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"veewee","Falkor/veewee",965,551,141,0,0,0,0,0,3,0,0,0,138,0,0,0,0,0,0,0
"ejabberd","Feanor184/ejabberd",2064,906,227,0,0,0,0,0,0,0,0,0,0,0,0,4,0,223,0,0
"serf","FollowMyDev/serf",437,198,27,0,0,0,0,11,0,0,11,0,6,0,1,0,0,0,0,0
"Haskell-Pipes-Library","FranklinChen/Haskell-Pipes-Library",796,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"IHaskell","FranklinChen/IHaskell",212,77,10,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0
"websocketd","FranklinChen/websocketd",45,33,6,0,0,0,0,0,0,0,1,0,1,1,2,4,0,0,0,0
"Hystrix","Fsero/Hystrix",127,277,39,0,0,0,0,0,22,0,5,0,0,0,0,0,12,0,0,0
